orderid   custid    itemid  pieces  datetran  
1         13519158  5       8       19.09.2013
2         47574119  32      10      03.07.2014
3         12026611  3       6       13.12.2014
4         18196225  47      9       08.05.2014
5         63225425  26      4       13.05.2014
6         11424052  15      3       03.05.2013
7         68979291  42      7       13.09.2014
8         72817372  35      2       03.12.2014
9         16083423  45      5       09.05.2013
10        66483603  32      8       29.04.2014
11        15171884  57      2       07.05.2014
12        71046607  58      1       05.03.2014
13        60430249  28      10      25.09.2014
14        40885429  29      2       27.10.2013
15        47509813  24      2       12.02.2014
16        44493452  47      9       22.09.2014
17        18846637  25      9       14.04.2014
18        40068820  36      6       02.08.2014
19        19005628  32      7       12.02.2013
20        14908786  40      10      20.07.2013
21        46999787  38      8       21.03.2014
22        18725082  3       3       19.10.2013
23        41473167  14      5       16.01.2013
24        70315817  39      10      01.05.2013
25        45012814  2       8       28.02.2014
26        17049849  51      7       01.06.2013
27        13863614  34      2       23.12.2014
28        63611279  44      8       18.12.2014
29        14894238  38      7       31.08.2014
30        70356122  23      10      05.11.2013
31        70601411  38      4       25.03.2013
32        18636322  42      5       14.03.2014
33        17025451  52      7       27.11.2013
34        41542851  34      2       16.06.2014
35        15777383  11      10      05.03.2013
36        48761885  16      3       03.02.2014
37        65167490  11      9       16.08.2014
38        62191528  49      9       16.03.2013
39        14794501  16      9       14.01.2014
40        11500794  16      2       05.06.2013
41        62099604  45      10      15.06.2014
42        16758277  8       3       13.03.2014
43        61087424  6       2       02.03.2014
44        60316012  7       5       16.10.2014
45        46615211  38      6       04.09.2013
46        62984748  25      6       01.04.2014
47        43700055  44      8       14.08.2014
48        71632336  52      9       25.11.2013
49        16619072  14      7       28.05.2013
50        64396606  42      9       26.05.2014
51        14952165  17      4       05.12.2013
52        40102971  7       1       25.10.2013
53        10200509  29      3       20.11.2014
54        64170349  36      5       05.01.2014
55        69789126  51      1       05.09.2013
56        40033686  42      3       21.10.2014
57        65050614  2       3       03.10.2013
58        47927551  8       7       10.07.2014
59        10273026  38      3       11.02.2014
60        63047233  35      7       21.11.2013
61        11210338  7       5       08.06.2014
62        13506731  54      8       03.02.2014
63        43806929  7       9       01.11.2013
64        41178203  25      4       14.06.2014
65        65666968  24      10      21.07.2013
66        62215787  18      6       18.03.2013
67        48761885  11      7       19.12.2013
68        42131022  13      3       25.01.2013
69        44478771  12      2       11.06.2013
70        13815300  7       6       09.07.2013
71        69855790  29      3       18.11.2013
72        66480850  46      6       28.03.2014
73        10146181  14      2       21.11.2014
74        40774805  51      8       14.01.2013
75        72308494  43      8       02.05.2014
76        12021938  28      7       03.05.2013
77        61132039  36      9       27.08.2014
78        41650727  44      1       19.11.2013
79        62766449  51      6       23.07.2014
80        44376693  30      9       06.10.2013
81        46622314  10      5       19.11.2013
